threshold,alerts,precision,recall,f1
0.05,4014,0.27254608868958646,0.9546247818499127,0.42403100775193797
0.1,3153,0.32318426895020613,0.8891797556719022,0.4740637357525006
0.15,2469,0.3758606723369785,0.8097731239092496,0.5134163208852005
0.2,1823,0.4487109160724081,0.7137870855148342,0.551027281913102
0.25,1358,0.5139911634756995,0.6090750436300174,0.5575079872204473
0.3,1062,0.5753295668549906,0.5331588132635253,0.5534420289855073
0.35,847,0.6399055489964581,0.47294938917975565,0.5439036628198696
0.4,690,0.7043478260869566,0.42408376963350786,0.5294117647058824
0.45,577,0.7521663778162911,0.3787085514834206,0.5037724898432966
0.5,499,0.7595190380761523,0.3307155322862129,0.460790273556231
