threshold,alerts,precision,recall,f1
0.05,4176,0.2653256704980843,0.9668411867364747,0.4163848177376926
0.1,3176,0.3214735516372796,0.8909249563699826,0.47246645071726057
0.15,2403,0.3920099875156055,0.8219895287958116,0.5308537616229924
0.2,1799,0.4563646470261256,0.7164048865619547,0.5575551782682512
0.25,1317,0.5254365983295368,0.6038394415357766,0.5619163621599675
0.3,1000,0.6,0.5235602094240838,0.5591798695246971
0.35,811,0.6732429099876696,0.47643979057591623,0.5579969340827798
0.4,669,0.7144992526158446,0.41710296684118675,0.5267217630853995
0.45,575,0.7513043478260869,0.3769633507853403,0.5020337013364323
0.5,501,0.7644710578842315,0.33420593368237345,0.46508803885853056
